,Operating_Cash_Flow_(ttm),Gross_Profit_(ttm),Enterprise_Value,Revenue_(ttm),EBITDA,Market_Cap_(intraday),Float_8,Operating_Margin_(ttm),Return_on_Assets_(ttm),Profit_Margin,Quarterly_Revenue_Growth_(yoy),Price/Book_(mrq),Revenue_Per_Share_(ttm),Enterprise_Value/Revenue,PEG_Ratio_(5_yr_expected),Current_Ratio_(mrq),50-Day_Moving_Average_3,Diluted_EPS_(ttm),Enterprise_Value/EBITDA,Total_Cash_Per_Share_(mrq),Beta_(5Y_Monthly),Forward_Annual_Dividend_Rate_4,Book_Value_Per_Share_(mrq),Price/Sales_(ttm),Forward_P/E,200-Day_Moving_Average_3,LogReturn,Cost_of_Equity
MPC,0.2251166065299657,0.20893318567737174,0.06069841158954565,0.42633630441300735,0.28698391270109125,0.04607474269552085,0.04746966100879204,0.37037955842222775,0.5213338114019361,0.4195318972659487,0.12256128064032018,0.0037233442400992894,0.7460877470184627,0.002276348736626451,0.5387543252595155,0.025481665630826603,0.039557961540156596,0.46916784646846,0.8011329450896253,0.01456506323431131,0.3274021352313167,0.1289348857266063,0.2732063114022031,0.0038090970199417436,0.01873593581841307,0.04517062512509173,0.46213873048998994,5.267398180072198
MRO,0.05805391768605708,0.0581764488741233,0.014853689845175825,0.015291520157003842,0.109011137360783,0.01021361291280019,0.07461327443267164,0.594062680889771,0.5174614557188956,0.6510977630488816,0.13006503251625817,0.0021211779307232317,0.015475855500963183,0.06009560664693831,0.21024221453287195,0.07007458048477315,0.005391429536807156,0.2454774264590216,0.8025179080248385,0.0038853772887045513,0.45836298932384356,0.01681759379042691,0.13777910092289375,0.0481738740757338,0.0316505234321495,0.006100306891720596,0.37237150648861633,7.274407829934833
OKE,0.05966734137111679,0.04584717607973422,0.03284228542487141,0.055469239785210026,0.1049611879851502,0.02212949464440041,0.053192971435374346,0.41701810965021086,0.4302617425600574,0.45060066280033145,0.1980990495247624,0.008349317386889314,0.09638319516893572,0.03755975415433644,0.05951557093425605,0.015226848974518335,0.01929970178196295,0.25467988044675166,0.8089432278718114,0.0007244269629674978,0.3274021352313167,0.16429495472186287,0.1316463233105091,0.02643961460900739,0.042119166422072196,0.02191607178597638,0.3778691944934231,5.267398180072198
OXY,0.2139693156150078,0.19416758951642674,0.06956172446012382,0.08310845803690681,0.24209697378782769,0.04486133056314544,0.10862511366831397,0.5259240883155545,0.39117963427751884,0.5585128417564209,0.09804902451225617,0.005077287600135395,0.0679422523322006,0.04666514910084225,0.07197231833910034,0.01305158483530143,0.018484376606778218,0.28173666823973575,0.8026881903529385,0.00022957192488406623,0.19857651245551602,0.030616645105648987,0.15314081571896399,0.034730002240645305,0.05366402504647295,0.021574154379878575,0.2758161846169235,3.2931115136312386
PSX,0.15339258998503918,0.16087117017349575,0.05076102238095653,0.41870417314034947,0.1889976375295309,0.04100285457386538,0.053143577961898635,0.33250640866617054,0.4595912513445679,0.4089685169842585,0.14407203601800903,0.002753018165406747,0.7079500443713339,0.0009105394946505802,0.28595155709342557,0.01858297078931013,0.03297292532796639,0.4188296366210477,0.8018254265572319,0.007932985404327176,0.23487544483985767,0.18068132815868912,0.28044060732360826,0.0024647098364328933,0.022307014969181096,0.03749416238574955,0.33057974929115735,3.8494022317996865
PXD,0.14649887060342048,0.11066814322628277,0.04599317131954207,0.052552675334587184,0.17167285408932387,0.041945649611970004,0.026245665406077676,0.5821549656826264,0.5604159196844747,0.62986743993372,0.10855427713856933,0.004332618752115536,0.17962814657691387,0.04985203733211928,0.024221453287197228,0.008234928527035426,0.07339395631032304,0.4352682082743433,0.8036304192350917,0.0004489406531066183,0.26334519572953735,1.0,0.3651086632926467,0.05019045485099709,0.03497700812053615,0.08744746147174594,0.4045013516953426,4.285708677421997
SLB,0.08108187391827276,0.05086747877445552,0.07613716740745916,0.08199089595769618,0.13364832939588256,0.06756697773083202,0.1767754420715876,0.4129661787811131,0.3578343492291144,0.466549295774648,0.3546773386693347,0.00884576328556922,0.04010735698361506,0.05964033689961302,0.04048442906574394,0.017557489123679305,0.01528183808082737,0.23438728960201355,0.8126553826243912,0.0010968436411127607,0.39501779359430605,0.042690815006468305,0.12316165525454006,0.05489580999327806,0.07318266314450642,0.016658049236106476,0.31258504853012836,6.303625988425187
TRGP,0.04705330165155915,0.042672572905131045,0.02236349188330117,0.05282525145146782,0.09719878501518732,0.012203957993243301,0.02512101401001548,0.37203340775655336,0.3987092147723198,0.4168392709196355,0.23911955977988997,0.015231862800406185,0.18822103417674937,0.026405645344866835,0.06193771626297577,0.007147296457426974,0.024114527478661985,0.24319647632531072,0.806990657176265,0.0004285342597835902,0.5551601423487544,0.08581285036653731,0.117773146769872,0.0159085816715214,0.04216808531454847,0.025806424711455063,0.44957458875219874,8.75784974505069
VLO,0.16468655578045707,0.15466961978589885,0.040945885763685734,0.4106359200806825,0.25593430082123975,0.035791293113231426,0.041419593757678154,0.36235838915074836,0.6410899964144854,0.4104183927091964,0.111055527763882,0.0028884125014103576,0.8721023354472845,0.0,0.28297577854671274,0.021597265382224985,0.03914662631663998,0.48914582350165176,0.8013259317281386,0.007279980817990276,0.33451957295373663,0.17378180250107808,0.3021434950878238,0.002240645305848084,0.011104588592114273,0.047530689172059506,0.3743834623678235,5.376474791477776
WMB,0.08812226818035143,0.05765965300849022,0.052987766008540216,0.02750293019325646,0.12723590955113062,0.03236056672457291,0.15017895635390044,0.5853799718845614,0.2940121907493725,0.5812966031483016,0.19709854927463735,0.006905111136184136,0.012532196272807944,0.12201229228317777,0.07474048442906574,0.0045059042883778735,0.00831484773251458,0.22958942897593207,0.8095789485633847,0.00017855594157649592,0.16370106761565834,0.07675722294092283,0.11268234593629058,0.07640600492941968,0.07851482242442032,0.008439522316365335,0.3960592235786822,2.758636117743907
