,Operating_Cash_Flow_(ttm),Gross_Profit_(ttm),Enterprise_Value,Revenue_(ttm),EBITDA,Market_Cap_(intraday),Float_8,Operating_Margin_(ttm),Return_on_Assets_(ttm),Profit_Margin,Quarterly_Revenue_Growth_(yoy),Price/Book_(mrq),Revenue_Per_Share_(ttm),Enterprise_Value/Revenue,PEG_Ratio_(5_yr_expected),Current_Ratio_(mrq),50-Day_Moving_Average_3,Diluted_EPS_(ttm),Enterprise_Value/EBITDA,Total_Cash_Per_Share_(mrq),Beta_(5Y_Monthly),Forward_Annual_Dividend_Rate_4,Book_Value_Per_Share_(mrq),Price/Sales_(ttm),Forward_P/E,200-Day_Moving_Average_3
ENPH,0.9572,0.9746,20.0,2.8,0.69199,20.5,0.13108,0.2275,0.13470000000000001,0.2048,0.341,21.07,20.52,7.15,3.19,3.44,171.31,3.33,27.02,13.24,1.45,,7.17,7.82,31.95,221.19
EPAM,0.60329,1.56,12.24,4.86,0.7201900000000001,13.87,0.05609000000000001,0.12960000000000002,0.10400000000000001,0.0888,0.034,4.43,84.61,2.52,,4.15,233.35,7.17,17.54,31.25,1.49,,54.09,2.92,46.3,295.46
FFIV,0.6179600000000001,2.16,9.04,2.81,0.56339,9.48,0.05332,0.16140000000000002,0.0558,0.1184,0.042,3.57,46.74,3.22,0.97,1.15,148.5,5.34,15.48,11.65,1.07,,44.82,3.44,12.76,144.92
FI,4.82,9.74,100.28,18.45,7.36,77.4,0.60617,0.22820000000000001,0.034,0.136,0.069,2.58,29.34,5.43,1.41,1.1,121.93,3.7,13.95,1.77,0.88,,49.08,4.36,17.06,111.57
FICO,0.44969000000000003,1.08,22.57,1.47,0.62513,20.74,0.02422,0.41380000000000006,0.2504,0.2843,0.142,,58.71,15.86,2.27,1.46,801.87,14.69,38.01,6.56,,,-28.28,14.91,36.36,676.22
FIS,3.74,5.71,54.32,14.57,4.15,36.18,0.58973,0.1326,0.0181,-1.6175,0.006999999999999999,1.34,24.47,3.73,1.0,0.74,56.85,-27.64,-4.45,3.35,0.84,2.03,34.23,2.52,10.32,62.77
FLT,1.19,2.66,24.06,3.54,1.77,18.54,0.07149,0.425,0.0653,0.2688,0.142,6.43,47.48,6.8,1.18,1.02,245.08,12.23,13.16,17.35,1.21,,39.04,5.37,14.9,211.12
FSLR,0.79991,0.12766,20.25,2.99,0.38003,21.65,0.10115,0.034,0.0077,0.052300000000000006,0.306,3.59,28.03,6.77,1.29,3.36,195.09,0.39,45.75,17.64,1.37,,56.53,7.23,26.6,180.34
FTNT,2.01,3.33,59.38,4.72,1.19,61.27,0.6642100000000001,0.23010000000000003,0.10890000000000001,0.2046,0.322,5.37,6.01,12.57,2.99,1.34,73.43,1.18,48.17,3.67,1.16,,0.01,13.19,54.05,61.32
FTV,1.29,3.36,29.83,5.97,1.56,27.57,0.3509,0.1837,0.0431,0.13390000000000002,0.043,2.77,16.88,4.99,2.12,0.96,71.7,2.24,19.73,2.03,1.2,0.28,28.32,4.68,23.04,67.24
