,LogReturn
LH,0.35072592512154177
LHX,0.2127816245656664
LIN,0.9258939606313747
LLY,1.5871828394807075
LMT,0.4712682675655584
LNT,0.34756997008782786
LOW,0.9355687531359331
LW,0.4124379053612781
MAA,0.5009300110340842
MAS,0.48271160368216126
MCD,0.7350008597272213
MCK,1.260720888455575
MCO,0.7155475572751859
MDLZ,0.6556384812585914
MDT,0.05248166988505609
META,0.5725653944466425
MKC,0.44958546890852347
MKTX,0.3357364009575132
MMC,0.9113434633148954
MMM,-0.470245738581613
MNST,0.6694981791446977
MO,0.07648949790930226
MOH,0.8745719332860205
MRK,0.6685858552839288
MSCI,1.2264524772732575
MSFT,1.168385634582397
MSI,0.9666000609190339
MTCH,0.24669858723701843
MTD,0.7752266980030731
NDAQ,0.5600340129826669
NEE,0.6088970666815974
NEM,0.26675763524310714
NFLX,0.2518406614673454
NI,0.18798027440877352
NKE,0.369708800939649
NOC,0.48936996626828577
NOW,1.1301029287647193
NRG,0.28265088398875005
NSC,0.37278945709994105
NVR,0.8371945301637167
NWSA,0.3232316682187637
O,0.27049520960534057
ODFL,1.4746448409998862
OMC,0.37724152078061923
ORCL,0.9466212269764638
ORLY,1.0855739631966932
PANW,1.22615261545225
PAYX,0.7132701350754438
PCAR,0.8679169025104603
PCG,-0.901789779393189
PEAK,-0.010107719621429201
PEG,0.3456722258698104
PEP,0.6220251658676741
PFE,0.09443438350688993
PG,0.7748369272595843
PGR,0.8760624046796828
PKG,0.495516188657791
PLD,0.7242618666961791
PM,0.3946562591539138
PNW,0.1958151994459092
PODD,1.1327570046998465
POOL,0.9186869021972726
PPG,0.32320542459235835
PPL,0.16336273601139562
PSA,0.4826869103032472
PTC,0.43675426695998
REGN,0.6800579135086737
RMD,0.7933334839366522
ROL,0.5412508926239861
RSG,0.8122486358382321
RVTY,0.3659243569924673
SBAC,0.3695533291781743
SBUX,0.7759503741125777
SEE,0.09763496117728865
SHW,0.6658103407655718
SJM,0.4051786246384621
SNA,0.6022273949131938
SNPS,1.573468457274835
SO,0.5645125766120405
