Date,ALB,APD,CE,CF,CTVA,DD,DOW,ECL,EMN,FCX,FMC,IFF,LIN,LYB,MLM,MOS,NEM,NUE,PPG,ROP,SHW,STLD,VMC
2020-02-20,91.06623840332031,235.64596557617188,100.62836456298828,36.41838836669922,30.155241012573242,48.85457992553711,40.654598236083984,198.57627868652344,65.89789581298828,11.670984268188477,101.34109497070312,120.21794891357422,209.5602264404297,66.80391693115234,251.2330322265625,17.65332794189453,42.92810821533203,44.19520950317383,112.80123901367188,376.4915771484375,188.6416778564453,27.075149536132812,131.40496826171875
2020-02-21,89.25090026855469,235.24925231933594,99.77823638916016,36.2984619140625,29.82093048095703,48.743019104003906,40.27106475830078,199.72164916992188,65.4267578125,11.535723686218262,99.74080657958984,119.75586700439453,206.85072326660156,66.4512710571289,244.74972534179688,18.341489791870117,44.1240348815918,44.8602180480957,112.37596130371094,379.6681213378906,185.1729278564453,27.388795852661133,129.62435913085938
2020-02-24,86.52789306640625,226.5393829345703,96.05433654785156,35.818790435791016,29.28602409362793,46.90226364135742,38.553504943847656,194.9283447265625,63.151058197021484,10.85942554473877,95.82904815673828,115.88723754882812,199.47064208984375,63.838417053222656,242.86119079589844,18.551759719848633,44.85586166381836,43.67798614501953,108.93597412109375,367.677490234375,183.15762329101562,27.047473907470703,126.01483917236328
2020-02-25,82.87791442871094,217.2759246826172,90.3807144165039,34.72107696533203,27.108196258544922,44.13181686401367,36.6441764831543,187.478515625,59.17743682861328,10.366693496704102,91.46808624267578,112.29039001464844,191.03895568847656,60.440128326416016,232.7858123779297,17.29969024658203,43.856292724609375,41.535186767578125,103.60588073730469,358.7459716796875,177.94480895996094,25.875904083251953,121.12480926513672
2020-02-26,82.7041015625,217.30360412597656,89.5121078491211,34.18605422973633,27.222820281982422,43.936580657958984,35.893775939941406,187.14161682128906,58.5018310546875,10.10583782196045,90.67262268066406,111.83738708496094,192.7063751220703,59.622589111328125,228.46359252929688,16.678430557250977,44.08832931518555,40.33448028564453,103.09555053710938,357.8536682128906,177.83177185058594,25.700634002685547,117.41851043701172
2020-02-27,78.02091217041016,206.75765991210938,84.76253509521484,33.32817459106445,26.067045211791992,42.168270111083984,33.5206413269043,176.60208129882812,55.54163360595703,9.468182563781738,86.4333267211914,110.74111938476562,184.69151306152344,56.825408935546875,224.85203552246094,15.818222045898438,41.52693557739258,38.61654281616211,97.89777374267578,348.0495910644531,169.67672729492188,24.805814743041992,115.18693542480469
2020-02-28,79.03479766845703,202.6241912841797,86.619873046875,34.001556396484375,25.981081008911133,40.137977600097656,34.24952697753906,173.68565368652344,54.67934799194336,9.62276554107666,87.12583923339844,108.52140808105469,180.95884704589844,58.13520431518555,222.02220153808594,16.27699851989746,39.83122634887695,38.19167709350586,98.71053314208984,344.8141174316406,167.32272338867188,24.565963745117188,116.68111419677734
2020-03-02,81.4005355834961,212.8102569580078,89.05010223388672,35.25609588623047,27.10401153564453,42.055992126464844,35.105552673339844,184.05194091796875,55.94165802001953,10.14448070526123,90.69133758544922,111.04010009765625,187.72317504882812,60.62461853027344,231.16539001464844,16.8791446685791,41.794677734375,39.43856430053711,99.52327728271484,353.9516906738281,174.3070526123047,25.174814224243164,122.09506225585938
2020-03-03,79.94245910644531,209.7747344970703,87.46073913574219,35.18229675292969,26.796884536743164,40.8303337097168,34.37665939331055,186.65074157714844,54.18153381347656,9.72904109954834,88.52021789550781,110.81360626220703,185.10836791992188,58.7697639465332,233.15599060058594,16.257883071899414,44.382850646972656,38.67195510864258,98.65382385253906,345.6474609375,175.03884887695312,24.593647003173828,124.2684097290039
2020-03-04,83.30277252197266,218.85365295410156,90.44539642333984,35.7449951171875,27.737459182739258,41.316864013671875,35.52085876464844,196.68011474609375,55.92388153076172,10.096174240112305,92.97476196289062,115.74227142333984,194.7147979736328,61.20222854614258,246.63169860839844,16.382503509521484,45.64479446411133,39.89113998413086,102.02764892578125,359.7753601074219,186.1127471923828,25.23016357421875,130.72047424316406
2020-03-05,81.8543701171875,215.90118408203125,87.55315399169922,35.04392623901367,26.211421966552734,39.688873291015625,33.986785888671875,191.4536590576172,53.07923889160156,9.651750564575195,88.74482727050781,113.09672546386719,187.0458526611328,60.12837600708008,237.72271728515625,15.51976203918457,46.611392974853516,37.655982971191406,97.00942993164062,344.6572570800781,179.6788787841797,23.66192626953125,125.88871765136719
2020-03-06,79.7590103149414,211.9429473876953,85.24303436279297,33.98310852050781,24.282278060913086,37.89249801635742,33.02906036376953,187.12237548828125,51.36356735229492,9.110711097717285,84.72074890136719,111.19412994384766,180.08792114257812,58.56636428833008,232.97059631347656,13.70800495147705,46.85304260253906,36.58457565307617,95.87537384033203,343.4709167480469,175.17481994628906,23.01618194580078,123.6474609375
2020-03-09,70.45057678222656,189.28256225585938,73.38753509521484,28.752817153930664,22.141979217529297,32.88694381713867,25.875730514526367,176.94859313964844,44.50975799560547,7.9513397216796875,74.15522003173828,102.125,164.7918701171875,48.494815826416016,208.05862426757812,11.426533699035645,42.762908935546875,32.068084716796875,92.05735778808594,309.14642333984375,170.69345092773438,19.547609329223633,115.20635986328125
